Results
Start date ,2011-01-26
End date ,2011-09-17
Option Type ,C
Expiry date ,2011-09-17
Strike price ,500


Date,Stock Price,Option Price,Implied Volatility,Delta,Hedging error,Cumulative hedging error,PNL
20110826,526.86,34.9,0.357028,0.734758,-7.61397,678.647,-96.9
20110829,539.08,43.05,0.330359,0.835138,-6.78652,671.861,-88.75
20110830,540.7,44.6,0.348179,0.840184,-6.98507,664.876,-87.2
20110831,540.96,43.1,0.297586,0.884829,-5.26811,659.608,-88.7
20110901,532.5,36.6,0.335607,0.815184,-6.25552,653.352,-95.2
20110902,524.84,29.25,0.311013,0.782107,-5.15143,648.201,-102.55
20110906,522.18,27.25,0.345372,0.757521,-5.23337,642.967,-104.55
20110907,534.03,35.65,0.308754,0.88972,-4.65867,638.309,-96.15
20110908,534.96,37.25,0.373689,0.867962,-5.43317,632.875,-94.55
20110909,524.85,28.7,0.397613,0.794371,-5.66033,627.215,-103.1
20110912,530.12,31,0.303933,0.91747,-3.77571,623.439,-100.8
20110913,529.52,30.05,0.296915,0.939738,-3.3782,620.061,-101.75
20110914,532.07,32.85,0.399138,0.926404,-3.78373,616.277,-98.95
20110915,542.56,41.9,7.5e-005,1,-3.11742,613.16,-89.9
20110916,546.68,46.1,7.5e-005,1,-3.19942,609.961,-85.7
